pelaaja_id,Pelaaja_Nimi,Pelaaja_Joukkue,Pelaaja_Pelipaikka,Pelaaja_Syntynyt,Pelaaja_Kansalaisuus,Pelaaja_Syntymäpaikka,Pelaaja_Ikä,Pelaaja_Pituus,Pelaaja_Paino,Pelaaja_Maila
60503717,"Bracco, Jeremy",KalPa,Oikea laitahyökkääjä,17.3.1997,USA,"Freeport, NY, USA",24,175,82,R
60347522,"Larsson, Henrik",TPS,Oikea puolustaja,18.11.1994,SWE,"Bofors, SWE",26,173,77,L
27706219,"Janatuinen, Joel",TPS,Vasen laitahyökkääjä,2.2.1995,FIN,"Espoo, FIN",26,183,83,L
31905381,"Nalli, Miro",Ilves,Oikea laitahyökkääjä,28.1.1999,FIN,"Sahalahti, FIN",22,187,82,L
60501726,"Rattie, Ty",Ässät,Vasen laitahyökkääjä,5.2.1993,CAN,"Calgary, AB, CAN",28,182,88,R
21870028,"Kainulainen, Harri",HPK,Oikea laitahyökkääjä,21.3.1996,FIN,"Hämeenlinna, FIN",25,188,82,R
24962616,"Ojantakanen, Kasperi",KooKoo,Keskushyökkääjä,12.1.1995,FIN,"Helsinki, FIN",26,180,79,R
32219869,"Rafkin, Ruben",TPS,Vasen puolustaja,8.1.2002,FIN,"Turku, FIN",19,182,86,R
24786410,"Laatikainen, Arto",HPK,Vasen puolustaja,24.5.1980,FIN,"Espoo, FIN",40,181,83,L
30682391,"Nyman, Linus",Lukko,Vasen laitahyökkääjä,11.7.1999,FIN,"Helsinki, FIN",21,177,77,L
24546935,"Koivisto, Toni",Lukko,Oikea laitahyökkääjä,5.11.1982,FIN,"Ylitornio, FIN",38,185,87,L
22710462,"Nikko, Joni",SaiPa,Vasen laitahyökkääjä,31.5.1994,FIN,"Vaasa, FIN",26,187,90,L
29942233,"Vanhatalo, Lassi",Tappara,Oikea laitahyökkääjä,8.1.1998,FIN,"Tampere, FIN",23,200,100,L
29028513,"Ikonen, Joona",Ilves,Oikea laitahyökkääjä,14.5.1998,FIN,"Tampere, FIN",22,178,82,R
22936754,"Pulkkinen, Teemu",Jukurit,Vasen laitahyökkääjä,13.3.1995,FIN,"Helsinki, FIN",26,175,79,L
60498996,"Netterberg, Pontus",Jukurit,Oikea laitahyökkääjä,9.2.1992,SWE,"Varberg, SWE",29,187,93,R
34367447,"Lambert, Brad",JYP,Oikea laitahyökkääjä,19.12.2003,FIN,"Lahti, FIN",17,182,78,R
22464239,"Luostarinen, Eetu",KalPa,Keskushyökkääjä,2.9.1998,FIN,"Siilinjärvi, FIN",22,190,86,L
27772764,"Lahtinen, Severi",JYP,Oikea laitahyökkääjä,13.12.1998,FIN,"Vantaa, FIN",22,185,93,L
60455235,"Moravcik, Michal",Tappara,Vasen puolustaja,7.12.1994,CZE,"Klatovy, CZE",26,194,96,L
22679723,"Niemelä, Mikko",Kärpät,Oikea puolustaja,9.10.1990,FIN,"Oulu, FIN",30,187,91,R
24849205,"Myttynen, Matias",Ilves,Keskushyökkääjä,12.3.1990,FIN,"Tampere, FIN",31,187,88,L
30345845,"Jääskä, Juha",HIFK,Keskushyökkääjä,9.2.1998,FIN,"Helsinki, FIN",23,184,89,L
21878800,"Kaksonen, Elmeri",SaiPa,Vasen laitahyökkääjä,12.2.1987,FIN,"Savonlinna, FIN",34,182,82,L
